Rhizopus_chinensis_NRRL_5190_NODE_4143		Root	rootrank	1.0	Bacteria	domain	1.0	Firmicutes	phylum	1.0	Clostridia	class	1.0	Clostridiales	order	1.0	Ruminococcaceae	family	1.0	Ruminococcus	genus	1.0
Rhizopus_japonicus_NRRL_1898_NODE_7315		Root	rootrank	1.0	Bacteria	domain	0.83	"Aquificae"	phylum	0.03	Aquificae	class	0.03	Aquificales	order	0.03	Hydrogenothermaceae	family	0.03	Venenivibrio	genus	0.03
Mucor_recurvus_NRRL_2358_NODE_15150		Root	rootrank	1.0	Bacteria	domain	1.0	"Proteobacteria"	phylum	0.98	Gammaproteobacteria	class	0.97	"Enterobacteriales"	order	0.9	Enterobacteriaceae	family	0.9	Cedecea	genus	0.5
Mucor_recurvus_NRRL_2358_NODE_15913		Root	rootrank	1.0	Bacteria	domain	1.0	"Actinobacteria"	phylum	0.96	Actinobacteria	class	0.96	Coriobacteridae	subclass	0.96	Coriobacteriales	order	0.96	"Coriobacterineae"	suborder	0.96	Coriobacteriaceae	family	0.96	Denitrobacterium	genus	0.66
Mucor_recurvus_NRRL_2358_NODE_15710		Root	rootrank	1.0	Bacteria	domain	1.0	Firmicutes	phylum	1.0	Bacilli	class	1.0	Lactobacillales	order	1.0	Streptococcaceae	family	0.97	Streptococcus	genus	0.95
Mucor_recurvus_NRRL_2358_NODE_15149		Root	rootrank	1.0	Bacteria	domain	1.0	"Proteobacteria"	phylum	1.0	Alphaproteobacteria	class	1.0	Sphingomonadales	order	0.97	Sphingomonadaceae	family	0.97	Polymorphobacter	genus	0.61
Coemansia_sp._RSA_487_NODE_111		Root	rootrank	1.0	Bacteria	domain	1.0	"Proteobacteria"	phylum	0.96	Gammaproteobacteria	class	0.95	Gammaproteobacteria_incertae_sedis	order	0.95	Candidatus Carsonella	genus	0.95
Coemansia_sp._RSA_487_NODE_111.1		Root	rootrank	1.0	Bacteria	domain	0.93	"Proteobacteria"	phylum	0.48	Gammaproteobacteria	class	0.41	Gammaproteobacteria_incertae_sedis	order	0.32	Candidatus Carsonella	genus	0.31
Coemansia_sp._RSA_487_NODE_446		Root	rootrank	1.0	Archaea	domain	0.24	"Euryarchaeota"	phylum	0.17	Thermoplasmata	class	0.1	Thermoplasmatales	order	0.1	Thermoplasmatales_incertae_sedis	family	0.09	Thermogymnomonas	genus	0.09
Coemansia_sp._RSA_487_NODE_446.1		Root	rootrank	1.0	Archaea	domain	0.37	"Crenarchaeota"	phylum	0.07	Thermoprotei	class	0.07	Sulfolobales	order	0.03	Sulfolobaceae	family	0.03	Stygiolobus	genus	0.01
